ido,auto_muszaki_allapota,KSS,vezetesi_tapasztalat,RQI,forgalom_surusege,latasi_viszonyok,homerseklet,csapadek,fagy,baleseti_veszely_merteke
632,4,4,2,10,26,84,11,0,0,2
628,7,5,5,10,3,64,-16,3,1,2
795,6,7,75,7,2,65,4,0,0,1
121,9,5,65,9,34,38,4,4,0,2
630,3,8,34,9,29,98,-12,3,1,3
325,8,8,19,8,10,76,-14,0,1,1
1097,9,4,1,10,32,5,-16,4,1,4
1194,4,6,7,2,11,72,0,0,1,2
152,7,3,54,4,5,53,27,0,0,1
779,9,5,0,7,7,72,28,13,0,2
102,7,3,5,4,6,36,-12,0,1,2
1296,3,1,3,3,19,4,20,4,0,3
316,8,5,1,10,25,22,2,0,0,1
1439,3,1,6,6,22,38,18,2,0,2
186,3,4,12,6,17,71,22,0,0,2
1352,6,4,68,5,14,90,28,0,0,1
603,1,5,2,6,37,81,36,0,0,3
1052,6,8,0,0,64,51,15,3,0,3
1335,9,1,16,6,5,39,16,3,0,1
38,7,2,78,1,9,94,9,17,0,2
1372,6,2,3,6,43,74,-14,0,1,3
1269,5,3,2,8,42,65,37,0,0,2
53,1,5,23,3,26,77,-7,0,1,3
115,3,2,1,4,44,72,16,0,0,2
1303,4,3,2,3,29,97,3,0,0,2
7,4,3,48,3,32,59,16,2,0,2
809,7,7,4,0,27,95,22,0,0,2
598,2,8,6,5,6,54,-10,0,1,4
1046,5,7,0,1,75,90,1,0,0,2
149,5,3,4,5,12,88,33,0,0,1
168,4,5,24,9,44,79,-9,0,1,2
673,6,8,5,8,15,98,-6,0,1,3
510,5,4,0,5,92,42,-7,0,1,3
1061,9,7,4,6,45,95,15,0,0,3
1416,4,1,0,6,24,66,22,1,0,1
1162,5,8,5,6,16,88,31,0,0,1
47,3,5,37,10,23,50,3,3,0,2
977,4,5,40,10,49,81,22,0,0,1
215,8,3,22,4,41,87,-3,0,1,3
1024,7,4,46,4,95,41,23,0,0,1
1376,6,2,3,8,23,98,36,8,0,2
67,2,8,0,2,13,34,-11,1,1,5
928,2,4,24,7,40,45,-8,0,1,3
86,3,4,33,4,43,65,32,0,0,2
1046,8,6,3,8,115,44,-11,0,1,1
1175,6,5,41,4,18,32,5,0,0,1
718,8,4,5,9,31,65,-5,0,1,1
834,3,4,59,1,22,19,-8,0,1,4
1385,8,2,55,1,41,73,-2,0,1,2
1344,10,1,3,7,19,40,14,0,0,1
51,9,3,78,6,3,2,-14,0,1,3
452,8,4,11,10,39,66,-9,0,1,2
311,7,7,1,1,10,11,21,3,0,2
399,5,4,56,10,77,77,-7,0,1,2
1397,8,2,13,7,5,9,28,0,0,1
1230,10,7,2,3,3,61,2,6,0,2
1248,10,4,20,7,16,25,13,0,0,1
800,2,4,64,8,8,7,26,4,0,2
77,10,3,73,7,17,38,1,1,0,1
55,10,2,2,7,34,28,31,0,0,1
322,3,5,2,6,20,70,-13,0,1,3
1228,7,4,77,8,43,67,35,0,0,1
1221,1,7,61,4,36,49,2,0,0,3
360,9,6,0,6,30,64,-17,17,1,4
1435,6,3,34,9,44,93,21,0,0,1
407,9,7,7,6,63,73,14,0,0,2
668,5,8,7,2,10,91,-18,3,1,5
1211,5,7,53,9,20,94,22,0,0,2
1391,9,2,32,5,31,86,18,2,0,1
1370,3,1,7,10,2,58,-16,0,1,2
28,10,3,21,3,14,58,27,0,0,1
1347,7,5,70,9,1,86,39,4,0,1
322,8,7,2,8,42,65,-3,0,1,2
1223,1,4,3,1,1,47,6,0,0,3
1244,5,5,51,1,8,90,18,0,0,2
362,7,7,5,9,117,100,33,0,0,1
1295,3,1,1,8,22,35,-1,2,1,3
654,2,5,51,2,29,95,-9,0,1,4
71,5,3,1,9,34,47,12,0,0,1
144,2,3,3,7,9,95,25,3,0,3
200,3,3,4,7,20,44,-3,3,1,4
1322,8,1,29,8,9,44,3,0,0,1
114,8,3,71,3,7,20,-8,0,1,2
136,8,2,23,1,28,9,34,0,0,1
663,2,8,10,8,21,79,-5,0,1,3
168,8,2,64,4,36,95,-13,9,1,3
150,1,2,63,5,39,92,33,11,0,3
1249,2,8,0,7,13,43,-17,0,1,3
929,1,4,45,8,96,8,9,0,0,3
285,5,7,2,4,43,98,-16,0,1,3
1167,2,4,59,4,21,43,-18,2,1,5
1168,3,7,5,7,19,73,22,3,0,3
266,8,6,42,10,3,75,19,0,0,1
246,8,6,2,7,2,47,16,0,0,1
180,5,2,6,2,41,76,16,3,0,2
296,10,6,2,7,13,68,10,0,0,1
140,5,3,29,6,32,100,-5,0,1,2
1337,2,1,7,7,32,65,-5,0,1,3
336,2,7,6,5,23,60,-10,0,1,3
1438,2,3,6,10,17,73,27,0,0,2
252,1,4,67,2,17,60,13,0,0,3
1191,9,8,66,8,24,57,7,1,0,3
475,2,5,39,6,38,71,8,0,0,2
51,7,4,47,9,23,80,-5,0,1,2
245,9,4,3,1,8,28,2,0,0,2
1075,6,8,3,10,125,90,-5,2,1,5
1014,10,5,47,1,95,40,37,2,0,2
422,1,4,60,0,70,78,-10,0,1,3
551,8,6,63,6,3,8,36,0,0,2
747,8,6,7,0,15,50,34,0,0,1
1213,10,4,1,1,15,40,-10,0,1,2
443,10,6,57,8,59,21,3,0,0,1
110,2,3,62,8,10,38,-10,0,1,3
131,8,3,1,7,24,69,37,0,0,1
38,7,4,6,6,11,40,18,0,0,1
1095,8,5,55,1,86,31,-7,0,1,2
1014,5,4,2,7,98,65,26,2,0,2
134,9,3,6,0,40,96,26,2,0,1
955,8,6,67,6,26,41,-6,0,1,2
822,8,6,6,10,8,77,30,0,0,1
673,6,5,72,1,32,22,18,2,0,3
1186,6,7,7,3,34,1,23,0,0,2
1345,8,2,2,3,32,45,-4,1,1,2
374,9,4,4,8,62,70,13,0,0,2
853,10,5,0,7,4,42,-9,0,1,2
998,8,7,2,6,28,51,-13,0,1,3
959,8,4,19,10,52,45,33,0,0,1
707,10,6,19,8,42,87,-12,0,1,1
114,1,5,76,7,31,95,-9,0,1,3
828,8,8,37,8,31,92,20,0,0,2
1157,7,4,34,10,7,76,-17,0,1,2
1137,3,4,22,2,53,83,9,0,0,2
979,10,7,78,10,71,92,14,0,0,1
600,2,5,7,8,43,66,17,0,0,2
151,7,5,56,9,12,95,22,0,0,1
1091,6,7,5,4,94,84,5,0,0,3
139,1,3,39,10,15,22,20,6,0,3
347,5,8,51,9,3,73,29,1,0,2
678,1,8,43,7,33,49,-12,3,1,5
746,9,7,1,8,18,47,8,0,0,1
75,10,5,2,7,2,88,19,3,0,1
904,6,7,24,10,119,35,12,0,0,2
289,1,8,63,2,9,83,-17,0,1,5
1,7,3,37,1,4,55,-4,0,1,2
233,9,3,27,9,4,15,18,0,0,2
527,10,5,0,0,26,90,5,0,0,1
411,8,8,8,7,77,23,-1,2,1,3
354,10,5,64,10,27,95,20,0,0,1
202,2,2,4,8,16,100,29,0,0,2
1061,10,8,5,7,71,64,0,0,1,3
611,5,4,2,8,44,84,36,0,0,2
395,7,5,7,1,84,44,-9,0,1,3
969,10,5,7,2,61,56,13,1,0,1
611,9,8,74,0,17,54,-18,0,1,2
21,8,2,1,7,9,58,13,8,0,2
1314,6,3,3,8,18,24,30,0,0,1
210,2,5,44,4,8,58,-15,12,1,5
1094,2,7,1,4,118,18,-4,0,1,4
376,3,5,5,0,127,98,12,0,0,3
1065,6,6,5,9,91,95,34,0,0,2
955,9,7,77,0,60,45,32,0,0,3
337,9,5,71,2,36,64,-6,0,1,2
118,2,1,17,8,36,54,36,7,0,2
1408,7,4,5,8,20,47,14,0,0,2
373,10,7,53,2,43,17,35,0,0,2
104,8,2,4,9,7,70,16,0,0,1
1354,7,1,8,2,1,42,21,0,0,2
536,7,8,50,3,33,42,-10,0,1,3
72,5,3,4,9,25,92,6,0,0,1
1217,6,8,78,9,4,60,-9,2,1,3
1427,5,5,43,8,35,94,9,0,0,2
407,9,6,3,6,117,77,6,0,0,1
449,7,5,71,10,52,73,0,0,1,1
367,5,4,18,7,71,71,34,0,0,2
335,2,8,24,5,12,45,35,0,0,3
683,7,4,14,0,23,47,-10,0,1,3
278,3,5,68,8,40,6,26,0,0,2
1367,6,5,4,6,23,44,11,0,0,1
106,5,2,42,2,5,61,38,0,0,1
984,4,5,3,3,61,64,-5,0,1,3
1026,6,8,5,2,37,59,-17,0,1,3
1013,8,7,7,6,39,96,16,16,0,3
535,2,8,0,5,50,51,-12,0,1,4
937,9,4,61,8,84,60,9,0,0,1
76,9,2,77,0,19,47,34,3,0,1
914,1,7,13,2,97,12,17,0,0,4
908,2,5,4,10,103,34,13,11,0,4
292,1,7,6,10,36,16,4,0,0,2
118,2,5,5,1,27,59,18,4,0,3
140,1,2,6,6,42,70,21,0,0,2
978,10,8,47,6,45,39,19,0,0,1
758,4,6,50,7,11,56,12,0,0,2
7,6,3,15,9,31,20,-1,0,1,2
253,2,5,37,8,9,22,2,0,0,3
104,8,5,6,1,41,55,3,0,0,1
1031,10,8,45,6,56,48,9,2,0,1
0,1,3,33,8,28,91,15,1,0,2
44,8,1,1,9,4,24,26,3,0,1
1164,6,4,2,0,16,24,20,0,0,1
125,5,2,40,0,10,95,27,0,0,1
1375,7,1,0,2,36,56,29,0,0,1
1108,8,7,7,8,96,70,6,0,0,2
500,1,4,80,2,99,82,36,0,0,3
479,1,5,4,8,62,43,1,0,0,3
472,7,6,5,2,97,85,20,0,0,2
266,10,7,57,7,31,79,31,0,0,1
1372,10,4,66,5,5,14,-8,0,1,1
863,8,4,23,7,10,55,39,0,0,1
1376,4,4,63,9,9,13,19,0,0,2
1221,7,8,69,9,33,84,-15,0,1,2
1167,7,5,5,4,11,87,34,4,0,1
1179,7,8,3,7,44,80,-10,0,1,2
307,10,4,3,5,30,27,36,0,0,1
432,4,4,26,6,93,93,3,0,0,2
103,5,5,72,7,42,92,-7,0,1,2
1226,1,7,0,4,8,43,-4,0,1,4
1086,1,6,3,9,29,75,22,16,0,3
1315,1,3,54,2,34,69,28,0,0,2
420,4,7,6,2,80,5,-2,0,1,2
32,8,4,17,4,27,61,9,1,0,1
512,7,8,38,4,61,1,2,0,0,3
628,1,4,70,4,18,85,-10,0,1,3
749,9,5,7,6,36,78,22,0,0,1
678,5,8,57,1,15,73,-16,2,1,3
23,3,5,7,3,32,41,-18,2,1,4
1145,9,7,2,9,5,50,1,2,0,2
253,4,6,40,0,15,91,-9,0,1,3
424,10,5,57,9,57,62,-10,0,1,1
381,10,5,65,9,59,63,32,0,0,1
332,2,8,6,7,9,44,31,0,0,2
208,6,1,3,4,42,46,29,0,0,1
439,4,6,45,6,98,54,-18,0,1,3
476,5,4,47,7,94,56,-16,0,1,3
42,9,1,73,0,33,76,-4,0,1,1
469,10,7,33,8,73,87,-6,0,1,2
791,6,5,5,0,32,37,4,0,0,2
199,8,4,44,10,11,97,9,18,0,1
1272,8,4,21,8,26,46,38,0,0,1
1103,9,8,2,4,125,68,3,0,0,2
537,7,8,6,4,110,73,9,1,0,3
68,7,5,49,9,17,58,32,0,0,1
549,8,4,12,6,5,75,25,2,0,1
399,6,8,42,8,27,47,25,0,0,2
907,2,6,66,5,115,52,38,0,0,3
772,7,8,12,8,24,54,25,0,0,2
395,10,4,6,7,54,57,12,0,0,1
1351,8,1,3,2,7,13,5,0,0,2
199,6,2,0,0,29,6,-14,18,1,5
1309,7,4,0,0,17,73,12,0,0,2
766,7,7,31,8,16,87,-14,0,1,2
877,6,5,42,9,17,91,28,1,0,2
850,10,5,1,7,33,88,2,0,0,1
1246,7,4,0,6,10,63,20,0,0,1
255,6,7,7,5,8,52,2,0,0,2
965,9,4,69,5,63,74,16,0,0,1
740,9,4,5,5,17,16,1,3,0,1
292,2,6,3,6,8,66,25,0,0,2
27,10,1,4,5,33,14,11,0,0,1
1076,4,8,2,6,56,78,34,0,0,2
1316,6,4,1,0,15,95,38,0,0,1
929,1,4,15,5,124,51,39,13,0,4
1285,10,2,7,9,8,76,27,0,0,1
960,5,7,17,9,114,89,37,0,0,3
1195,6,4,2,1,23,82,1,0,0,1
1359,10,2,47,6,3,38,10,1,0,1
118,6,1,1,2,3,97,-4,0,1,1
316,8,4,1,8,39,37,14,0,0,1
